"","id","IV","g4q1","g4q2","g4q3","age","gender","hhi","ethnicity","hispanic","education","political_party","region","zip","g5sd1"
"1",1,"male","No, I don't.","","None ",38,"1","1","1","1","-3105","4","3","35094","Female"
"2",2,"male","Yes.","2","No",67,"2","1","2","1","1","1","3","77063","Female"
"3",3,"male","Yes.","20","Because that's what I do",29,"1","4","15","2","5","5","4","85023","Male"
"4",4,"female","Yes.","25","I don't know ",45,"2","4","1","14","2","1","4","85621","Female"
"5",5,"female","No, I don't.","","I tip because the sun",56,"2","1","2","1","6","3","2","45211","Female"
"6",6,"male","Yes.","20","I always tip ",31,"1","17","1","1","6","1","3","77904","Male"
"7",7,"female","Yes.","50","In my option",42,"2","11","10","1","5","2","2","57252","Female"
"8",8,"female","Yes.","100","Think it’s a great thing",35,"2","5","2","1","2","1","3","32608","Female"
"9",9,"male","Yes.","5","It's only fair ",40,"2","1","2","10","7","1","1","11238","Female"
"10",10,"male","Yes.","10","His attitude was apologetic and his offer was appropriate and nice and the rest of the meal went smoothly",79,"1","20","1","1","7","2","3","33547","Male"
"11",11,"female","Yes.","10","While the drink was late, the server acknowledged it and provided additional product to compensate for the wait.",68,"2","22","1","1","7","2","1","19031","Female"
"12",12,"female","No, I don't.","","It depends on the service I received ",36,"2","12","2","1","6","1","3","28213","Female"
"13",13,"female","No, I don't.","","depends on the person",75,"2","1","1","1","8","2","1","17020","Female"
"14",14,"male","No, I don't.","","Because he was not paying attention ",63,"2","4","2","1","2","1","3","75227","Female"
"15",15,"male","Yes.","6","3",39,"2","1","1","1","2","1","1","10916","Female"
"16",16,"female","Yes.","5","The overall job of the server",47,"2","17","1","1","1","3","3","74063","Female"
"17",17,"male","Yes.","10","its nice",57,"1","2","1","1","2","6","4","91505","Male"
"18",18,"male","Yes.","10","he made up for his forgetting",66,"2","9","1","1","7","2","1","19608","Female"
"19",19,"female","Yes.","10.00","Good server brought an apologetic app",73,"2","19","1","1","7","3","1","02842","Female"
"20",20,"female","Yes.","15","My reasons ",54,"1","18","2","1","4","7","4","92563","Male"
"21",21,"male","Yes.","10","It's the right thing to do",45,"1","4","1","1","5","2","1","15212","Male"
"22",22,"female","Yes.","20","Because u should tip",51,"2","1","1","1","6","3","1","08360","Female"
"23",23,"male","Yes.","10.00","Helps other",31,"2","1","1","2","1","3","3","79916","Female"
"24",24,"male","Yes.","4","xw",24,"1","11","10","9","5","5","3","20785","Male"
"25",25,"female","Yes.","3.00","server was honest",74,"2","9","1","1","6","3","3","29575","Female"
"26",26,"female","Yes.","10","Seems mandatory ",46,"2","23","1","1","7","1","4","80501","Female"
"27",27,"male","No, I don't.","","Not sure",45,"2","1","1","1","2","3","3","25268","Male"
"28",28,"male","Yes.","15","He's in a rush things do slip people's mind and he was nice enough to come back offered his apologies for it didn't make up an excuse for anything blamed it on himself",53,"1","2","1","1","1","2","2","44820","Male"
"29",29,"male","No, I don't.","","it is whats right",36,"2","1","1","1","2","1","3","70764","Female"
"30",30,"female","Yes.","10.00","Depends on how the waitress treats me",26,"2","1","2","1","2","2","2","63834","Female"
"31",31,"male","Yes.","20","Good service ",30,"2","9","2","1","6","2","2","60619","Female"
"32",32,"male","Yes.","10","Because he came back to apologize ",36,"1","4","2","1","4","1","3","76548","Male"
"33",33,"male","Yes.","10","I’ve served before ",62,"2","7","1","1","2","1","3","76711","Female"
"34",34,"female","Yes.","10.00","Actions",22,"2","8","1","1","2","3","3","21229","Female"
"35",35,"female","Yes.","15","Good service",24,"2","9","1","1","6","3","3","33702","Female"
"36",36,"male","Yes.","5","I think to tip us important, it’s always been American culture ",19,"2","1","15","10","2","3","3","28025","Female"
"37",37,"female","Yes.","10","we are all human",47,"2","14","1","1","7","2","3","79106","Female"
"38",38,"male","Yes.","20","They need to be paid",43,"1","1","1","1","2","1","4","80538","Male"
"39",39,"female","Yes.","30","The only way I could do that was if you wanted me too ",33,"1","23","2","1","6","1","3","33023","Male"
"40",40,"female","Yes.","10","Service was exemplemetary",65,"2","7","1","1","4","2","2","52060","Female"
"41",41,"female","Yes.","33","44",31,"1","4","2","1","8","2","4","99301","Male"
"42",42,"male","Yes.","15","The respect and thought of my waiter ",29,"2","2","1","1","2","5","3","30110","Female"
"43",43,"female","No, I don't.","","Because the food was late and it seems like a high cost of the food ",41,"2","4","2","1","2","3","3","30303","Female"
"44",44,"female","Yes.","15","Service people work hard for thier money.",46,"2","6","1","1","7","3","1","48632","Female"
"45",45,"male","Yes.","10","They don't make much ",50,"1","5","2","1","3","1","3","70814","Male"
"46",46,"male","Yes.","15","He at least apologized for what happened ",34,"1","18","1","1","7","2","4","80019","Male"
"47",47,"female","Yes.","15","Be ause she is working hard and made a mistake",50,"2","2","1","1","2","1","2","49451","Female"
"48",48,"male","Yes.","1","1",42,"1","19","1","1","7","1","3","77479","Male"
"49",49,"male","Yes.","15","I’m broke",39,"2","1","2","1","1","3","1","06514","Female"
"50",50,"female","Yes.","6.00","It says thank you.",40,"2","1","2","1","2","4","3","23112","Female"
"51",51,"female","Yes.","10","She did the work, and everyone makes mistakes.",73,"1","12","1","1","6","6","1","19382","Female"
"52",52,"female","Yes.","20","My career was a waitress all my life",65,"2","1","1","1","3","2","3","31204","Female"
"53",53,"male","Yes.","25","always do",78,"1","16","1","1","8","3","3","34744","Male"
"54",54,"female","Yes.","10","Everyone makes mistakes, it's human, she forgot, but admitted it and made up for it. UNLIKE JOE BIDEN",63,"1","7","1","1","8","2","1","06492","Male"
"55",55,"male","No, I don't.","","0",26,"1","1","2","5","6","2","1","11520","Male"
"56",56,"female","Yes.","150","QUALITY",39,"1","13","1","1","7","1","4","90001","Male"
"57",57,"female","No, I don't.","","No",25,"2","20","1","1","2","5","3","29691","Female"
"58",58,"female","No, I don't.","","I don’t know ",22,"2","1","2","1","2","3","3","27870","Female"
"59",59,"male","Yes.","2","Because I like the service",34,"1","21","2","1","2","1","2","44710","Male"
"60",60,"male","Yes.","12.50","Honest mistake should not be punished ",45,"2","4","1","1","6","1","3","30189","Female"
"61",61,"male","Yes.","10","Appropriate ",57,"2","3","1","1","6","7","1","06706","Female"
"62",62,"male","Yes.","5.00","How they treat you",54,"2","1","1","1","2","2","3","31824","Female"
"63",63,"female","Yes.","15.00","Because I know what it feels like to be a server ",22,"2","22","1","10","2","3","1","19023","Female"
"64",64,"male","Yes.","7.00","I use to serve so i know what tips can do for one. ",34,"1","7","2","1","5","1","3","22971","Male"
"65",65,"female","Yes.","20","10",24,"2","1","15","16","2","3","3","33805","Female"
"66",66,"male","No, I don't.","","Nome",36,"1","8","2","1","2","2","2","60620","Male"
"67",67,"female","No, I don't.","","Too expensive ",76,"1","5","1","1","4","2","3","72653","Male"
